..\ts_CHKU_n_c.dat      0.00      0.00      0.01      0.01
..\ts_CISH_n_c.dat     -3.19     -3.97     -4.39     -5.14
..\ts_CKSV_n_c.dat     -3.91     -5.03     -5.69     -7.00
..\ts_CKUM_n_c.dat     -6.57     -7.37     -7.50     -7.17
..\ts_DANI_n_c.dat     14.05     14.80     14.19     11.27
..\ts_DJES_n_c.dat     -8.68     -9.60     -9.64     -8.90
..\ts_GS28_n_c.dat     13.28     12.88     11.30      5.98
..\ts_GS29_n_c.dat      3.60      6.17      7.14      8.28
..\ts_GS30_n_c.dat     -4.22     -5.23     -5.77     -6.72
..\ts_GS31_n_c.dat      1.70      1.98      2.08      2.17
..\ts_GS32_n_c.dat      9.76     11.22     11.61     11.65
..\ts_GS33_n_c.dat      3.61      3.27      2.63      0.66
..\ts_GS34_n_c.dat     -0.85     -0.98     -1.02     -1.03
..\ts_GS35_n_c.dat     -2.28     -2.37     -2.25     -1.71
..\ts_GS51_n_c.dat     -1.36     -1.51     -1.52     -1.41
..\ts_GS73_n_c.dat      0.92      2.42      3.72      6.94
..\ts_GS74_n_c.dat      6.40      6.06      5.16      2.36
..\ts_GS75_n_c.dat     -4.19     -4.81     -5.01     -5.09
..\ts_GS79_n_c.dat     -0.32     -0.60     -0.82     -1.35
..\ts_GS88_n_c.dat     17.52     21.78     24.08     28.22
..\ts_GS89_n_c.dat      5.03      7.94     10.15     15.28
..\ts_HHLA_n_c.dat     13.60     17.56     19.93     24.65
..\ts_HOKN_n_c.dat      4.77      5.56      5.83      6.08
..\ts_KAWN_n_c.dat      0.01      0.01      0.01      0.02
..\ts_LIAN_n_c.dat    -11.79    -13.03    -13.08    -12.06
..\ts_LNCH_n_c.dat      9.35     11.67     12.95     15.28
..\ts_MLO1_n_c.dat     -2.63     -3.77     -4.57     -6.36
..\ts_NANK_n_c.dat      5.16      6.53      7.31      8.79
..\ts_NCKU_n_c.dat     -3.98     -4.30     -4.23     -3.65
..\ts_NEMN_n_c.dat     -3.42     -4.76     -4.91     -4.92
..\ts_S011_n_c.dat     11.92     11.96     10.89      7.03
..\ts_S012_n_c.dat      7.19      7.86      7.81      6.98
..\ts_S106_n_c.dat      5.60      6.91      7.59      8.77
..\ts_S169_n_c.dat      1.27      1.32      1.26      0.97
..\ts_SHWA_n_c.dat      7.12      8.82      9.43      9.97
..\ts_WANC_n_c.dat     -0.19     -2.06     -3.75     -4.03
..\ts_WHES_n_c.dat    -22.63    -26.57    -28.10    -29.77
..\ts_WUST_n_c.dat      0.22      0.54      0.82      1.51
..\ts_YSAN_n_c.dat     -1.42     -1.65     -1.73     -1.79
..\ts_ZEND_n_c.dat     -5.52     -7.84     -9.45    -13.02
